Símbolo,Nombre,Número atómico,Masa atómica
H,Hidrogeno,1,1.00794
Li,Litio,3,6.941
Na,Sodio,11,22.989768
K,Potasio,19,39.0983
Rb,Rubidio,37,85.4678
Cs,Cesio,55,132.90543
Fr,Francio,87,223.0197
Be,Berilio,4,9.012182
Mg,Magnesio,12,24.305
Ca,Calcio,20,40.078
Sr,Estroncio,38,87.62
Ba,Bario,56,137.327
Ra,Radio,88,226.0254
Sc,Escandio,21,44.956
Y,Itrio,39,88.905
La,Lantano,57,138.91
Ac,Actinio,89,227
Ce,Cerio,58,140.12
Th,Torio,90,232.038
Ti,Titanio,22,47.9
Zr,Zirconio,40,91.22
Hf,Hafnio,72,178.49
V,Vanadio,23,50.942
Nb,Niobio,41,92.906
Ta,Tántalo,73,180.94
Cr,Cromo,24,51.996
Mo,Molibdeno,42,95.94
W,Tungsteno,74,183.85
Mn,Manganeso,25,54.938
Tc,Tecnecio,43,98.9062
Re,Renio,75,186.21
Fe,Fierro,26,55.847
Ru,Rutenio,44,101.07
Os,Osmio,76,190.2
Pr,Praseodimio,59,140.907
Pa,Protactinio,91,229.0359
Nd,Neodimio,60,144.24
U,Uranio,92,238.029
Pm,Prometio,61,145
Np,Neptunio,93,237.0482
Sm,Samario,62,150.4
Pu,Plutonio,94,244
Eu,Europio,63,151.96
Am,Americio,95,243
Gd,Gadolinio,64,157.25
Cm,Curio,96,247
Tb,Terbio,65,158.9254
Bk,Berkelio,97,247
Dy,Disprosio,66,162.5
Cf,Californio,98,251
Ho,Holmio,67,164.9304
Es,Einstenio,99,254
Er,Erbio,68,167.26
Fm,Fermio,100,257
Tm,Tulio,69,168.9342
Md,Mendelevio,101,258
Yb,Iterbio,70,173.04
No,Nobelio,102,259
Lu,Lutencio,71,174.96
Lr,Lawrencio,103,260
Ku,Kurchatovio,104,261
Ha,Hahnio,105,262
Co,Cobalto,27,58.9332
Rh,Rodio,45,102.905
Ir,Iridio,77,192.2
Ni,Níquel,28,58.71
Pd,Paladio,46,106.4
Pt,Platino,78,195.09
Cu,Cobre,29,63.54
Ag,Plata,47,107.868
Au,Oro,79,196.967
Zn,Zinc,30,65.37
Cd,Cadmio,48,112.4
Hg,Mercurio,80,200.59
B,Boro,5,10.811
Al,Aluminio,13,26.9815
Ga,Galio,31,69.72
In,Indio,49,114.82
Tl,Talio,81,204.37
C,Carbono,6,12.01115
Si,Silicio,14,28.086
Ge,Germanio,32,72.59
Sn,Estaño,50,118.69
Pb,Plomo,82,207.19
N,Nitrógeno,7,14.0067
P,Fósforo,15,30.9738
As,Arsénico,33,74.9216
Sb,Antimonio,51,121.75
Bi,Bismuto,83,208.96
O,Oxígeno,8,15.9994
S,Azufre,16,32.064
Se,Selenio,34,78.96
Te,Telurio,52,127.6
Po,Polonio,84,209
F,Flúor,9,18.998403
Cl,Cloro,17,35.453
Br,Bromo,35,79.904
I,Yodo,53,126.9045
At,Astato,85,210
He,Helio,2,4.0026
Ne,Neón,10,20.183
Ar,Argón,18,39.948
Kr,Kriptón,36,83.8
Xe,Xenón,54,131.3
Rn,Radón,86,222
